HPO	Associated Genes
Generalized aminoaciduria	FAH,NGLY1,ETFA,CYP27B1,ETFDH,ETFB,CYP2R1,SLC34A1,CTNS,DGUOK,SLC2A2
Generalized amyloid deposition	LYZ,CST3,B2M,APOA1,FGA,GSN
Generalized amyotrophy	MGME1,MYPN,ALDH18A1,MST1,SLC16A2,SPEG,PYROXD1,COL6A3,C9ORF72,BAG3,TBK1,SQSTM1,MYH7,PGAP1,POMT1,LEMD3,PNPLA2,CHCHD10,DARS2,NEB,TTN,DOK7,PNPLA6,RBM28,TPM3,COL12A1,CARS1,RYR1,GPR35,TK2,DNAJC19,KLHL41,NUP88,RAPSN,TARDBP,COL6A2,YARS2,SCO2,HNRNPA2B1,NAGA,BIN1,FUS,MYOD1,DNA2,SPTBN4,PEX5,POLG,GMPPB,WARS2,MUSK,SLC18A3,SCYL1,TPM2,POLR3A,SGCD,COL6A1,SLC52A2,KBTBD13,LAMP2,ACTA1,HNRNPA1,ACADSB,TCF4,VAMP1,LMNB2,PUS1,LMNA,DALRD3,SELENON,TRIP4,VCP
Generalized anhidrosis	ITPR2
Generalized arterial calcification	ENPP1
Generalized arterial tortuosity	SLC2A10,TGFBR2,TGFBR1,EFEMP2
Generalized bone demineralization	CHST3
Generalized bronze hyperpigmentation	CYP11A1
Generalized cerebral atrophy/hypoplasia	TBP,SCN9A,SCN1B,SRCAP,ADGRV1,PLA2G6,GABRG2,HCN1,SCN1A,GABRD,HSD17B4,SCN2A,STX1B
Generalized clonic seizure	SCN9A,SCN1A,SCN8A,DMXL2,SLC25A22,GNAO1,PSAP,GABRA1,GABRG2,PIGP,KCNQ3,SCN2A,TRIM8,PIGQ,CDKL5,ARX,KCNQ2,KCNA1,NEUROD2,CASK,SCN1B,ACSF3,SIK1,DPM2,PCDH19,PNKP,PRRT2,STXBP1
Generalized distal tubular acidosis	FN1
Generalized dystonia	TUBB4A,SUOX,FA2H,TIMM8A,PANK2,TH,THAP1,GCH1,ACTB,HPCA,JAM2
Generalized edema	CD46,UBR1,COQ2,HELLPAR,CALCRL,PLVAP,FSHR,PHGDH,DOK7,CFH,PIEZO1,PMM2,CFI,PRF1,PDSS2,TMEM260,CD55
Generalized hirsutism	AIP,SMARCA4,KCNAB2,ARL6,TWIST2,CDH23,MC1R,BBS1,RAB18,BBIP1,BBS4,ARX,RAB3GAP2,GPR101,C8ORF37,SMARCC2,ABCA5,USP8,INSR,TWIST1,SDCCAG8,GJB3,PRDM16,PTEN,CYP19A1,GJA1,SMO,IFT172,NOTCH2,TTC8,GJB4,NPHP1,HSPG2,MKKS,NRAS,ARID1B,GNE,MBD5,ELMO2,TUBB,PEPD,SETD5,LMNB2,IFT27,HDAC8,ARID1A,BBS12,SKI,BBS2,BSCL2,SUCLA2,RERE,MKS1,IRF6,ABCC9,SRCAP,SOX4,KCNJ8,CTSC,BBS10,IDUA,SMARCB1,ARMC5,ARID2,SOX11,CEP290,SLC25A24,UBE2A,LZTFL1,TRIM32,SMARCE1,SMC3,SMC1A,BBS5,TBC1D20,PPARG,WDPCP,BBS9,RAD21,SMARCD1,AKT1,DPF2,KMT2A,MAPRE2,RAB3GAP1,KDSR,BBS7,LMNA,NIPBL,GNAS,GABRD,NFIX
Generalized hyperkeratosis	KRT14,GJB3,SDHB,ZMPSTE24,KRT5,AKT1,PTEN,PIK3CA,SEC23B,USF3,LMNA,FUCA1,GJB2,SDHC,KLLN,SDHD,GJB6
Generalized hyperpigmentation	GMPPA,KRAS,AIP,PTEN,ATP6V1B2,HRAS,CDH23,NNT,TXNRD2,AAAS,HJV,POLA1,MAP2K1,TP63,MAP2K2,MRAP,ALDH3A2,POR,RTEL1,KCNN3,HAMP,AKT1,PARN,BRAF,GPR101,CYP17A1,MYO5A,STAR,DKC1,PAX6,TERT,SLC40A1,USP8,INSR,CYP11B1,TRAPPC11,KCNH1,HSD3B2,ACD,TINF2,MC2R,CYP11A1,GJB6
Generalized hyperreflexia	EEF2,SLC2A1,MPLKIP,RNF113A,SLC52A3,TARS1,ERCC3,SPG7,GTF2E2,GTF2H5,ERCC2
Generalized hypertrichosis	SETBP1,KCNN3,NEU1,ATP6V1B2,KCNH1
Generalized hypopigmentation	TYR,SKIV2L,HPS5,AP3D1,MKRN3-AS1,IPW,MC1R,LEMD3,TP63,HPS4,MAGEL2,EPG5,HPS6,MKRN3,NDN,PWAR1,SLC24A5,CTNNB1,MITF,TTC37,SNORD115-1,HERC2,SLC45A2,AP3B1,CACNA1F,OCRL,OCA2,BLOC1S3,NPAP1,EDNRB,LYST,PAH,PWRN1,SNORD116-1,LRMDA,DTNBP1,TYRP1,SNRPN,HPS1
Generalized hypopigmentation of hair	UBR1,TERC,USB1,PDE4D,TYR,MLPH,DSTYK,CTC1,PAX3,UROC1,RAB27A,KANSL1,ABCA2,PADI3,WRAP53,TP63,RMRP,LPAR6,NHP2,ESCO2,PIGN,TGM3,RTEL1,AP3B1,PRKAR1A,PARN,SLC17A5,MYO5A,NOP10,DKC1,NPM1,PAH,TERT,UBE3A,ACD,GNPTAB,TINF2
Generalized hypotonia	POGZ,COX14,DHX30,PAK1,BMPER,FASTKD2,SPEG,TRNW,FGF8,SLC45A1,CCDC22,GLDC,IPW,MSTO1,PSAP,ATCAY,PHF21A,COL12A1,CEP104,ALDH7A1,SLC35A3,COX6B1,PGM3,EIF2B4,NDUFA11,CWF19L1,WNK1,TELO2,MYF6,LMAN2L,TANC2,SLC5A7,KIAA0586,VLDLR,RBM10,COG6,EGR2,KCNT1,FARSB,ACAD9,CUL4B,BRPF1,GNB5,EMC1,SNX14,SLC34A3,KCNH1,EFEMP2,NPC1,ZBTB18,NFIA,UBA5,GABRB3,UQCRQ,ATAD3A,VDR,PRMT7,DPAGT1,AARS1,MRPS34,PLA2G6,WASHC5,KIAA1109,CHD4,AIFM1,NDUFB3,GCSH,TMEM106B,USP7,GTPBP2,ARSA,KANSL1,NSD2,GLRX5,PGAP1,CAD,POMT1,NEPRO,DYNC1I2,SGCE,AP2M1,COX8A,CSNK2A1,SHH,SON,GABRB1,NDUFAF6,MED25,TGFB1,MCCC2,GABRB2,COX10,FAR1,KCNA2,TANGO2,DLG3,BMPR1A,TMEM199,TPI1,DBT,PMPCA,PLEKHG2,NANS,CDK13,STRA6,PUM1,PDHA1,UBE3B,FOXH1,PIGB,GALNT2,SCN1B,MGAT2,HSD17B10,STAG2,B3GAT3,SMPD1,HDAC8,ARID1A,PIGK,NDUFA10,LTBP4,AMER1,METTL5,MYPN,COLQ,COL6A3,TBC1D23,MKS1,CACNA1C,EFNB1,HADHB,MYO18B,AGTPBP1,TNFRSF11A,QARS1,PAX7,LINS1,ATP1A3,PEX2,GPT2,ZBTB20,CRPPA,LIAS,GLUL,CSF1R,IQSEC2,TRNN,DHTKD1,CTNNB1,MITF,KCNK9,RYR1,SSR4,CNOT1,EIF2B5,TRRAP,PRUNE1,RFT1,CHD3,MMUT,PUS7,TACO1,PHIP,RETREG1,DMD,KCNC3,HEPACAM,WDR26,PEX16,DNA2,SYNGAP1,PHACTR1,PACS1,RLIM,FCSK,POMT2,FRA16E,ETHE1,ZC3H14,ACADS,SMARCB1,ARID2,SLC13A3,PNPT1,SZT2,B3GALNT2,GAS1,EZH2,EIF2B3,VIPAS39,BCS1L,CHRNE,RPL10,CRADD,BRWD3,FGF12,PIGL,MRPS22,RSRC1,PMM2,PPP3CA,SC5D,CLCNKB,SFXN4,BCORL1,SDHD,HLCS,PDHB,CLCN4,RPS6KA3,PWAR1,PNP,TTN,AP1S2,GNB1,SLC1A4,AIMP1,DYRK1A,PIGC,TBR1,GPHN,DCPS,KDM6B,ATXN2,PACS2,SIX3,NTRK2,DHFR,PHKB,GMPPB,EDN1,MAMLD1,SLC22A5,FBXW11,MTO1,MPZ,HACE1,SDHB,GPAA1,PIEZO2,CCDC78,PPA2,KIF22,HADH,MAPK8IP3,RNU4ATAC,SNRPN,PRSS12,FKTN,TDP2,TMEM216,ABCC8,MAP3K20,CRAT,SMARCA4,ZNF462,RRM2B,CDK10,ABCD4,GTF2E2,ASXL1,ZNF148,ADARB1,ATP6V0A2,TRMT5,NDUFA13,ALAD,MAGEL2,SHOC2,SLC9A7,RNASEH2C,PUF60,TAF1,GPC4,HERC2,TMEM63A,EXOSC3,TRAPPC9,LGI4,COA3,SDHA,BIN1,C12ORF65,DDX11,CAMK2B,P4HTM,SARS1,MICOS13,TSEN2,SMARCC2,LRPPRC,SLC25A4,PMP22,WASF1,TDGF1,SLC35A1,MACF1,ASXL3,USP9X,AGK,ALPL,ADK,DGUOK,CASR,IQSEC1,ITCH,SLC25A15,MYH7,GNAO1,MBOAT7,LARS1,NDUFS4,DNM1L,NAXE,SIN3A,GBE1,GABRA2,FMN2,STAG1,NPC2,ZIC2,MAST1,NPHP1,NSUN2,TK2,CHRND,COL6A2,SGPL1,DIAPH1,HTRA2,COG1,PRPS1,EXOSC9,ARL13B,MCOLN1,DHX16,PEX3,ARMC9,ATP6V1E1,ANK3,COL6A1,NACC1,CNTNAP1,EHMT1,TRIT1,CNOT3,HEXA,ZSWIM6,ACY1,FLCN,SKI,PBX1,MCCC1,RNF13,AMMECR1,ADNP,PLP1,DLL1,WHCR,PLCB4,POMGNT1,GALE,SLC39A8,ACO2,UGDH,HIKESHI,ARV1,PPM1D,SHANK3,SOX4,ATPAF2,CD59,CYP2R1,PTRH2,PUS3,NDUFS3,HADHA,KDM5B,FH,ALG1,PNPLA8,CBL,ELP1,HCN1,NDST1,CYP27B1,COG7,SLC9A6,KMT2D,KCNMA1,SCO1,TRMT10C,PEX5,FKRP,ACTL6B,CLCNKA,SIL1,EIF2B1,NFASC,GLE1,FOXP1,DNMT3A,DPM2,TH,YWHAG,COX15,TSHB,ACAT2,TMEM237,TP53RK,NDUFB9,CLTC,PCBD1,CREBBP,CEP290,MARS2,MRE11,GFPT1,LIFR,EZR,COQ9,ADAT3,ALDH6A1,HIBCH,DAG1,PARS2,ERCC6,APC,TRAPPC6B,HNRNPK,DOCK3,PEX1,SET,KDM6A,KATNIP,SUOX,CFL2,BRAF,SLC25A46,HCFC1,MYO5A,KCNQ2,TRNT1,PRF1,CASK,POLG,MSL3,PEX6,ACADVL,CSNK2B,KAT6A,CEP57,MAPRE2,ACADSB,GRM1,PWRN1,TUBB2A,GRIN2D,UBE3A,TCF4,PPP1CB,SELENON,MPDU1,EIF2B2,FRRS1L,TMEM165,RPS23,NFIX,STXBP1,TRHR,NDUFS1,UBR1,GMPPA,GNAI3,ALDH18A1,NEU1,TRMU,MRAS,CEP41,MVK,DNM2,SOX2,SRD5A3,MKRN3-AS1,AHDC1,SURF1,TRNE,MTM1,EEF1A2,CHD1,FBXL4,KDM1A,SPECC1L,TARS2,MTMR14,PTDSS1,SPTAN1,WWOX,PRKD1,COLGALT1,CNKSR2,TMEM67,PGAP2,COQ8A,NDUFAF2,GM2A,GLI2,ASH1L,AMT,FLVCR1,ARX,ARHGEF2,KIAA0753,PC,FOXRED1,NAGA,KPTN,STAMBP,PEX12,CEP120,TOE1,NONO,HNMT,TRNS1,SMG9,BPTF,MRPS2,CHAMP1,MMADHC,IFT81,SLC25A26,PMPCB,STRADA,NDUFV1,MYMK,COQ7,REPS1,PEX10,PHF6,BCL11B,TECR,LMOD3,NODAL,TRIP12,SUZ12,EBP,TGIF1,MIPEP,VPS51,SLC33A1,FAT4,MKRN3,NDN,RAC1,RNF125,RHOBTB2,TPM3,CRBN,STX11,FDX2,C12ORF4,GRIK2,PEX19,DEAF1,FAM149B1,CNOT2,EDC3,SPTBN2,AHI1,COL13A1,PREPL,SCO2,EED,IRF2BPL,KCNJ10,AP1S1,GNE,DDR2,CTNNA2,MYOD1,CYP24A1,ECHS1,SOX5,TUBB,DMPK,MAN2B1,MTOR,NSDHL,SNORD116-1,TMEM94,HERC1,DOCK6,RARS2,SLC18A2,TRAPPC11,BUB1B,ALG2,PIGS,TBCE,QRICH1,RSPRY1,RNF113A,KCNB1,SYNJ1,ATP6V1B2,GNPAT,SUCLA2,ACADL,PRODH,KCNK4,SETD2,OXR1,AP3D1,CTU2,ALG9,KCNT2,CSPP1,TIMMDC1,MTR,TCTN2,ATP6V1A,TRAK1,USP18,NDUFS7,MEF2C,ZIC1,PDP1,SLC12A6,KCNN3,MED12L,SLC13A5,ATXN10,PRX,PRKCG,DPYD,TRPS1,HUWE1,LMBRD1,SLC25A42,UFM1,ALG14,GPC3,GRIN1,MOGS,FLAD1,KCNQ5,ATP5F1A,TRIP4,AGA,MMAA,GTF2H5,DCHS1,LAMB1,PIGV,GABRA5,LONP1,NCAPG2,DDX3X,TKT,GABBR2,KIF7,CAMK2G,AUTS2,CHST14,TSFM,POLR2A,AP3B2,CACNA1B,NAA10,NDUFAF4,POU3F3,SLC2A10,PAX8,GRID2,PEX13,MMAB,PPP2CA,EPG5,NEB,LAGE3,SARS2,LRP5,CC2D2A,NRXN1,ST3GAL5,CHAT,OGDH,SLC25A20,CDK8,NUP133,COL1A2,B9D1,ARFGEF2,RORA,ZEB2,ACACA,KIF14,MN1,PSMD12,PIGT,SNIP1,CNTNAP2,GAA,DPF2,PRNP,ARL3,B3GALT6,RAB3GAP1,CLIP1,CDC42,INPPL1,CHMP1A,FBXO31,MPI,ACTA1,VPS33B,EXTL3,SERAC1,IGF2,SLC6A8,PIGO,ERCC3,MMACHC,PRDX1,B4GALT1,SMS,ADSL,TPM2,ASCC1,LETM1,TCTN3,TLK2,MPLKIP,ASXL2,PTCHD1,COL2A1,TBC1D24,ACADM,PGAP3,ST3GAL3,RPGRIP1L,TIMM50,NUS1,MLYCD,CPT1A,MLXIPL,SLC25A10,SOX9,KDM3B,SLC46A1,RET,SLC35A2,NDUFAF5,TECPR2,SNORD115-1,DISP1,BOLA3,VARS1,SCN3A,CYFIP2,ELAC2,MPV17,TPK1,KLHL41,LAMA1,PPP2R5D,ITPR1,PLOD1,VARS2,ISCA2,STT3A,TRAF7,SLC17A5,GCDH,MED13L,NKX2-1,NARS2,KIF5A,NAT8L,SIX6,CTBP1,TRMT1,LARGE1,KBTBD13,C2CD3,ARHGAP31,SPART,TASP1,LYRM7,EIF2S3,TARS1,DALRD3,SLC7A7,SERPINH1,ATIC,ADCY6,OSTM1,CLP1,POU1F1,GDI1,ZC4H2,ELN,VPS13B,XYLT1,HPRT1,OFD1,PTEN,MED12,SPRED1,COA8,KIF1A,BTD,CC2D1A,EBF3,SLC1A2,IARS2,STT3B,DNM1,GABRG2,CHST3,IFIH1,FARS2,ALDH5A1,INPP5E,NRAS,PIGG,NDUFV2,NDUFS8,MAG,MRPS28,TMEM70,TWNK,NGLY1,MCM3AP,DDOST,DCC,TSEN15,TUBA1A,NDUFA6,ERF,METTL23,CCDC47,NALCN,POLR3A,TUSC3,MORC2,SLC52A2,AMPD1,SLC35C1,NKX6-2,SLC1A3,RMND1,ACP2,HIVEP2,FUT8,COG4,NDUFA12,UNC80,PNKP,CCDC115,CANT1,DPM1,PPP2R1A,SCN9A,COX20,ALG12,POLG2,MFSD2A,D2HGDH,RERE,MPC1,GPX4,TXN2,PIGH,PDE6D,LAMA2,BCKDHA,PPT1,IARS1,NDUFB8,UQCC3,CPLANE1,PIGN,TOR1A,OSGEP,LAMB2,TNIK,MAN1B1,NOTCH3,PIK3CA,C19ORF12,DLD,NPAP1,C12ORF57,GTPBP3,PTCH1,BCOR,PET100,RAB11B,ADAM22,DHCR7,ATP7A,GAN,TRIM2,ALG13,WAC,BSND,TCF20,ACTB,HECW2,MTFMT,PHKG2,BMP1,CDON,ERCC2,CAMK2A,FIG4,OPHN1,CPLX1,OTX2,CD96,HNRNPU,EP300,SLC25A24,NECAP1,SCN8A,ACTN2,POC1A,FBXO11,KIFBP,WASHC4,CPT2,TMEM107,GRIN2B,CIC,PNPLA2,SYNE1,DHDDS,POMGNT2,OTUD6B,FBP1,ATXN1,LNPK,BCKDHB,CACNA1A,SUFU,VRK1,TET3,INPP5K,MTRR,CDKL5,FGFRL1,ZNHIT3,CDK19,NOVA2,ALG8,EXT2,MED23,DNAJC12,YME1L1,KMT2A,B4GALT7,HSPD1,COL1A1,SLC18A3,KAT6B,NUP214,HNRNPH2,SDHAF1,MANBA,CUX1,KMT2C,KMT2E,CTCF,RAI1,PEX14,CLCN7
Generalized hypotonia due to defect at the neuromuscular junction	CHRNE,CHAT
Generalized ichthyosis	PHGDH
Generalized joint laxity	DUSP6,COL5A1,LONP1,AP4M1,COL5A2,TAC3,WDR11,CHD7,DSE,AP4B1,MCTP2,CHST14,COL2A1,MED12,PROKR2,TACR3,FGF8,ANOS1,FGFR3,MSTO1,ATP6V0A2,KISS1R,ATP6V1A,HS6ST1,PUF60,PROK2,GNRHR,PLOD1,SPRY4,AP4S1,COL1A1,GNRH1,COMP,ATP6V1E1,KISS1,NSMF,C1R,SERPINH1,FGF17,AP4E1,FGFR1
Generalized limb muscle atrophy	KLHL41,SCYL1,PNPLA2,MYPN,SGCD,KBTBD13,LEMD3,ACTA1,NEB,DARS2,YARS2,SCO2,PNPLA6,PUS1,TPM3,CARS1,MYH7,GMPPB,TPM2
Generalized lipodystrophy	CAV1,ZMPSTE24,LMNA,BSCL2,KCNJ6
Generalized lymphadenopathy	HLA-DRB1,IFNGR1,RNF168,RAC2
Generalized microdontia	LAMB3
Generalized morning stiffness	PRG4
Generalized muscle hypertrophy	SMAD4,SCN4A,ZEB2
Generalized muscle weakness	SLC2A3,MAP3K20,CAVIN1,SOD1,DCTN1,MTM1,COL12A1,CCNF,PON2,KLHL41,MATR3,MYO9A,PPARGC1A,ITGA7,CHRNA1,SDHA,MYH2,AGRN,RANBP2,HACD1,PON1,SLC5A7,OPTN,SLC25A4,PLEC,PRPH,MYL1,ACAD9,ORAI1,NEFH,KCNJ1,PLA2G6,AIFM1,SQSTM1,COA8,MYH7,LMOD3,NEK1,POMT1,VAPB,CHCHD10,CCND1,TPM3,PON3,TK2,PFN1,CHRND,COL13A1,COL6A2,TREM2,SYT2,EGF,COL6A1,MORC2,SLC12A1,CHMP2B,VAMP1,TAF15,SLC12A3,ACY1,GLT8D1,DSE,COLQ,COL6A3,C9ORF72,ACADL,POMGNT1,HADHB,CRPPA,PNKD,ERBB4,SNAP25,LDB3,PIGN,DNAJB6,LAMB2,RYR1,HADHA,MYL2,ABCB6,EPHA4,FKRP,ATP13A2,TPM2,HNRNPA1,DAO,POMT2,GLE1,SLC25A1,MEN1,ANXA11,FUS,CAPN3,VCP,FIG4,UBQLN2,TBK1,CLCNKB,SDHD,CFAP410,NEB,TTN,AARS2,CHAT,TARDBP,UNC13A,ATXN2,POLG,FXYD2,FGF23,SLC18A3,ANG,SDHB,ACTA1,SDHAF1,HTT,SELENON,PRRT2,FKTN,CNNM2
Generalized muscular appearance from birth	BSCL2,AGPAT2
Generalized myoclonic seizure	ABCC8,NEU1,PIK3CD,TRNW,EPM2A,SCN1A,TBC1D24,NUS1,PSAP,ELOVL4,INS,ALDH7A1,TRAPPC9,ARX,SDHA,PDX1,ATP6,TRNF,TRNS1,KNSTRN,TRNH,SLC12A5,CHD2,PRICKLE1,GABRB3,MFSD8,PAFAH1B1,SLC25A15,BTD,SLC25A22,CILK1,MBOAT7,AP2M1,DNM1L,CARS2,ND6,TRNP,DNM1,GABRG2,ALDH5A1,ND5,PLAGL1,TANGO2,SCN2A,ASAH1,KCTD7,NGLY1,MECP2,ND3,SCN1B,EFHC1,RNR1,MTHFR,ADGRG1,TRIT1,BUB1B,STAT3,HYMAI,SCN9A,CLCN2,ND1,BRAT1,TRNL1,NDUFA1,SETD2,AP3D1,KCNT2,TRNQ,KCNJ11,NEXMIF,ND4,SAMD12,TRNS2,GAMT,PTRH2,PHGDH,HCN1,GRN,TRNI,GCK,SIK1,DPM2,GBA,SLC6A1,CAMK2A,OPHN1,GABBR2,CPLX1,GLB1,IER3IP1,AFG3L2,SDHD,GABRA1,DHDDS,ADGRV1,PCDH12,LNPK,TRNV,PRDM8,TRNK,STX1B,DYRK1A,APC2,CDKL5,PIGA,PIGT,SPATA5,NDE1,NSD1,CUX2,NHLRC1,GALC,NTNG1,MAPK10,HACE1,SDHB,SDHAF1,PCDH19,ND2,GABRD,SMS,STXBP1
Generalized myoclonic-atonic seizure	MED13,AP2M1,CHD2,SLC6A1
Generalized neonatal hypotonia	FIG4,BPTF,PEX2,MTHFR,ATP2B3,TRNT,VAC14,ADNP,SUCLG1,PSMD12,MED12,PEX10,PEX16,PEX26,COG4,TBC1D24,PEX12,PEX6,PEX3
Generalized non-convulsive status epilepticus without coma	SCN9A,SCN1B,CDKN1B,CDKN2B,ADGRV1,GABRG2,HCN1,SCN1A,MEN1,CDKN2C,GABRD,CDKN1A,SCN2A,STX1B
Generalized non-motor (absence) seizure	PTCHD1,EPM2A,ARHGEF6,SCN1A,SMARCA2,CSTB,TBC1D24,IL1RAPL1,SYP,USP27X,FRMPD4,CNKSR2,SLC9A7,CXORF56,SLC35A3,PRRT2,ARX,FTSJ1,DOCK7,CACNB4,SLC12A5,USP9X,CHD2,GDI1,GABRB3,ATAD3A,PAFAH1B1,MED12,DMXL2,SLC25A22,CILK1,GNAO1,AP2M1,SON,GABRG2,DNM1,ACSL4,KCNQ3,ALDH5A1,GATAD2B,ALMS1,DLG3,SCN2A,ASAH1,NGLY1,ZNF711,MECP2,JRK,SRPX2,SCN1B,EFHC1,MID2,MTHFR,EHMT1,SMPD1,ADGRG1,ZNF81,NUBPL,PNKP,ZNF41,SCN9A,CLCN2,SETD2,CACNA1H,KCNT2,LAMA2,IQSEC2,PIGP,NEXMIF,TSPAN7,PIGQ,PHGDH,DMD,PIGM,NFKB2,HCN1,KCNA1,WDR26,KCNMA1,RAB39B,SYNGAP1,DPM3,RORB,ALG13,SIK1,WAC,SZT2,SLC2A1,CPLX1,GRIN2A,GLUD1,SCN8A,CLCN4,GABRA1,DHDDS,CEP85L,ADGRV1,RPS6KA3,GOSR2,STX1B,ZEB2,TRIM8,DYRK1A,APC2,CDKL5,KCNQ2,PIGT,HCFC1,SPATA5,NEUROD2,CASK,AGTR2,PAK3,NSD1,DHFR,CUX2,NHLRC1,MAPK10,PCDH19,RNU4ATAC,UPF3B,GABRD,SLC6A1,STXBP1
Generalized opacification of the cornea	TGFBI
Generalized osteoporosis	SP7,MMP14,ZBTB20,COL1A1,B3GAT3,CHST3,COL2A1,LMNA,MEN1,STAT1,CBS,CDC73,COL1A2,TENT5A,GCM2
Generalized osteosclerosis	LEMD3,SOST,PLEKHM1,LRP5,PTH1R,DHCR24,TCIRG1,CLCN7
Generalized papillary lesions	HR
Generalized reticulate brown pigmentation	POLA1
Generalized seborrheic dermatitis	C5
Generalized tonic seizure	GABRB3,SCN9A,RPL10,PAFAH1B1,GRIN2A,SCN1A,DMXL2,SCN8A,SLC25A22,GNAO1,GABRA1,ADGRV1,COG2,GABRG2,DNM1,PIGP,KCNQ3,TANGO2,SCN2A,TRIM8,ARHGEF9,PIGQ,CDKL5,ARX,KCNQ2,KCNA1,PIGT,NEUROD2,CASK,DOCK7,CUX2,SCN1B,MAPK10,SIK1,PCDH19,CHD2,PNKP,PRRT2,TBCD,STXBP1
Generalized tonic-clonic seizures on awakening	CACNB4,EFHC1,CLCN2
Generalized weakness of limb muscles	ALG2,DPAGT1,ALG14,GFPT1,GMPPB
Generalized-onset motor seizure	ABCC8,TMX2,NEU1,PIK3CD,TRNW,EPM2A,SCN1A,TBC1D24,NUS1,PSAP,ELOVL4,INS,ALDH7A1,TRAPPC9,ARX,SDHA,PDX1,ATP6,DOCK7,TRNF,TRNS1,KNSTRN,TRNH,CACNB4,SLC12A5,CHD2,PRICKLE1,GABRB3,MFSD8,PAFAH1B1,SLC25A15,DMXL2,BTD,SLC25A22,CILK1,GNAO1,MBOAT7,AP2M1,DNM1L,CARS2,ND6,TRNP,GABRG2,DNM1,KCNQ3,ALDH5A1,ND5,PLAGL1,TANGO2,SCN2A,ASAH1,KCTD7,NGLY1,MECP2,JRK,ND3,SCN1B,EFHC1,RNR1,MTHFR,PCYT2,ADGRG1,TRIT1,BUB1B,STAT3,PNKP,HYMAI,SCN9A,CLCN2,ND1,BRAT1,TRNL1,NDUFA1,SETD2,AP3D1,KCNT2,TRNQ,KCNJ11,COG2,PIGP,NEXMIF,ND4,SAMD12,TRNS2,PTRH2,GAMT,MED13,PIGQ,PHGDH,HCN1,SLC9A6,KCNA1,GRN,TRNI,GCK,SIK1,DPM2,GBA,SLC6A1,TBCD,CAMK2A,OPHN1,GABRA5,RPL10,GABBR2,CPLX1,GRIN2A,GLB1,IER3IP1,SCN8A,AFG3L2,SDHD,GABRA1,DHDDS,ADGRV1,PCDH12,LNPK,TRNV,PRDM8,TRNK,STX1B,TRIM8,ARHGEF9,DYRK1A,APC2,CDKL5,PIGA,KCNQ2,PIGT,SPATA5,NEUROD2,CASK,NDE1,NSD1,CUX2,NHLRC1,GALC,NTNG1,MAPK10,HACE1,SDHB,SDHAF1,ACSF3,PCDH19,ND2,PRRT2,GABRD,SMS,STXBP1
