Symbol	Full Name	Summary
ZNF431	zinc finger protein 431 	This gene encodes a member of the Krueppel C2H2-type zinc-finger family of proteins. The encoded protein may negatively regulate transcription of target genes, including the hedgehog signaling pathway receptor patched 1, by interacting with histone deacetylases. Mutations in this gene may be associated with non-syndromic facial clefting in human patients. [provided by RefSeq, Jul 2016].
UROC1	urocanate hydratase 1 	This gene encodes an enzyme involved in histidine catabolism, metabolizing urocanic acid to formiminoglutamic acid. The gene product is known to protect the skin from ultra violet rays and is contained in human sweat. Deficiency of this gene product in the liver is an apparent cause of cognitive disability. Multiple transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Sep 2009].
POC1A	POC1 centriolar protein A 	POC1 proteins contain an N-terminal WD40 domain and a C-terminal coiled coil domain and are part of centrosomes. They play an important role in basal body and cilia formation. This gene encodes one of the two POC1 proteins found in humans. Mutations in this gene result in short stature, onychodysplasia, facial dysmorphism, and hypotrichosis (SOFT) syndrome. [provided by RefSeq, Sep 2012].
POU1F1	POU class 1 homeobox 1 	This gene encodes a member of the POU family of transcription factors that regulate mammalian development. The protein regulates expression of several genes involved in pituitary development and hormone expression. Mutations in this genes result in combined pituitary hormone deficiency. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008].
CYBA	cytochrome b-245 alpha chain 	Cytochrome b is comprised of a light chain (alpha) and a heavy chain (beta). This gene encodes the light, alpha subunit which has been proposed as a primary component of the microbicidal oxidase system of phagocytes. Mutations in this gene are associated with autosomal recessive chronic granulomatous disease (CGD), that is characterized by the failure of activated phagocytes to generate superoxide, which is important for the microbicidal activity of these cells. [provided by RefSeq, Jul 2008].
ASIP	agouti signaling protein 	In mice, the agouti gene encodes a paracrine signaling molecule that causes hair follicle melanocytes to synthesize pheomelanin, a yellow pigment, instead of the black or brown pigment, eumelanin. Pleiotropic effects of constitutive expression of the mouse gene include adult-onset obesity, increased tumor susceptibility, and premature infertility. This gene is highly similar to the mouse gene and encodes a secreted protein that may (1) affect the quality of hair pigmentation, (2) act as a pharmacological antagonist of alpha-melanocyte-stimulating hormone, (3) play a role in neuroendocrine aspects of melanocortin action, and (4) have a functional role in regulating lipid metabolism in adipocytes. [provided by RefSeq, Jul 2008].
GIPC3	GIPC PDZ domain containing family member 3 	The protein encoded by this gene belongs to the GIPC family. Studies in mice suggest that this gene is required for postnatal maturation of the hair bundle and long-term survival of hair cells and spiral ganglion in the ear. Mutations in this gene are associated with autosomal recessive deafness. [provided by RefSeq, Dec 2011].
PUDP	pseudouridine 5'-phosphatase 	This gene encodes a member of the haloacid dehalogenase-like (HAD) hydrolase superfamily. The encoded protein has no known biological function. This gene has a pseudogene on chromosome 1. Multiple alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2010].
PFN2	profilin 2 	The protein encoded by this gene is a ubiquitous actin monomer-binding protein belonging to the profilin family. It is thought to regulate actin polymerization in response to extracellular signals. There are two alternatively spliced transcript variants encoding different isoforms described for this gene. [provided by RefSeq, Jul 2008].
PTPRB	protein tyrosine phosphatase receptor type B 	The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP contains an extracellular domain, a single transmembrane segment and one intracytoplasmic catalytic domain, thus belongs to receptor type PTP. The extracellular region of this PTP is composed of multiple fibronectin type_III repeats, which was shown to interact with neuronal receptor and cell adhesion molecules, such as contactin and tenascin C. This protein was also found to interact with sodium channels, and thus may regulate sodium channels by altering tyrosine phosphorylation status. The functions of the interaction partners of this protein implicate the roles of this PTP in cell adhesion, neurite growth, and neuronal differentiation. Alternate transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2011].
WASHC4	WASH complex subunit 4 	This gene encodes a component of the WASH complex, which functions in the intracellular transport of endosomes. Mutations in this gene have been detected in individuals with autosomal recessive cognitive disability. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jun 2014].
MYO3B	myosin IIIB 	
POC1B-GALNT4	POC1B-GALNT4 readthrough 	This locus represents naturally occurring transcripts that splice the 5' exons of the POC1B (POC1 centriolar protein homolog B) gene on chromosome 12 to the GALNT4 (UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4) gene, which is located within a POC1B intron. Alternative splicing results in two transcript variants, one of which encodes a fusion isoform that shares sequence identity with the products of each individual gene. [provided by RefSeq, Dec 2010].
CCDC71L	coiled-coil domain containing 71 like 	
NCF1	neutrophil cytosolic factor 1 	The protein encoded by this gene is a 47 kDa cytosolic subunit of neutrophil NADPH oxidase. This oxidase is a multicomponent enzyme that is activated to produce superoxide anion. Mutations in this gene have been associated with chronic granulomatous disease. [provided by RefSeq, Jul 2008].
CASR	calcium sensing receptor 	The protein encoded by this gene is a plasma membrane G protein-coupled receptor that senses small changes in circulating calcium concentration. The encoded protein couples this information to intracellular signaling pathways that modify parathyroid hormone secretion or renal cation handling, and thus this protein plays an essential role in maintaining mineral ion homeostasis. Mutations in this gene are a cause of familial hypocalciuric hypercalcemia, neonatal severe hyperparathyroidism, and autosomal dominant hypocalcemia. [provided by RefSeq, Aug 2017].
KIF16B	kinesin family member 16B 	The protein encoded by this gene is a kinesin-like protein that may be involved in intracellular trafficking. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2010].
SEPTIN6	septin 6 	This gene is a member of the septin family of GTPases. Members of this family are required for cytokinesis. One version of pediatric acute myeloid leukemia is the result of a reciprocal translocation between chromosomes 11 and X, with the breakpoint associated with the genes encoding the mixed-lineage leukemia and septin 2 proteins. This gene encodes four transcript variants encoding three distinct isoforms. An additional transcript variant has been identified, but its biological validity has not been determined. [provided by RefSeq, Jul 2008].
ADD3	adducin 3 	Adducins are heteromeric proteins composed of different subunits referred to as adducin alpha, beta and gamma. The three subunits are encoded by distinct genes and belong to a family of membrane skeletal proteins involved in the assembly of spectrin-actin network in erythrocytes and at sites of cell-cell contact in epithelial tissues. While adducins alpha and gamma are ubiquitously expressed, the expression of adducin beta is restricted to brain and hematopoietic tissues. Adducin, originally purified from human erythrocytes, was found to be a heterodimer of adducins alpha and beta. Polymorphisms resulting in amino acid substitutions in these two subunits have been associated with the regulation of blood pressure in an animal model of hypertension. Heterodimers consisting of alpha and gamma subunits have also been described. Structurally, each subunit is comprised of two distinct domains. The amino-terminal region is protease resistant and globular in shape, while the carboxy-terminal region is protease sensitive. The latter contains multiple phosphorylation sites for protein kinase C, the binding site for calmodulin, and is required for association with spectrin and actin. Alternatively spliced adducin gamma transcripts encoding different isoforms have been described. The functions of the different isoforms are not known. [provided by RefSeq, Jul 2008].
IL21R	interleukin 21 receptor 	The protein encoded by this gene is a cytokine receptor for interleukin 21 (IL21). It belongs to the type I cytokine receptors, and has been shown to form a heterodimeric receptor complex with the common gamma-chain, a receptor subunit also shared by the receptors for interleukin 2, 4, 7, 9, and 15. This receptor transduces the growth promoting signal of IL21, and is important for the proliferation and differentiation of T cells, B cells, and natural killer (NK) cells. The ligand binding of this receptor leads to the activation of multiple downstream signaling molecules, including JAK1, JAK3, STAT1, and STAT3. Knockout studies of a similar gene in mouse suggest a role for this gene in regulating immunoglobulin production. Three alternatively spliced transcript variants have been described. [provided by RefSeq, Jul 2010].
PDE7A	phosphodiesterase 7A 	The protein encoded by this gene belongs to the cyclic nucleotide phosphodiesterase (PDE) family, and PDE7 subfamily. This PDE hydrolyzes the second messenger, cAMP, which is a regulator and mediator of a number of cellular responses to extracellular signals. Thus, by regulating the cellular concentration of cAMP, this protein plays a key role in many important physiological processes. Alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Jul 2011].
MAB21L1	mab-21 like 1 	This gene is similar to the MAB-21 cell fate-determining gene found in C. elegans. It may be involved in eye and cerebellum development, and it has been proposed that expansion of a trinucleotide repeat region in the 5' UTR may play a role in a variety of psychiatric disorders. [provided by RefSeq, Oct 2008].
GEMIN8	gem nuclear organelle associated protein 8 	The protein encoded by this gene is part of the SMN complex, which is necessary for spliceosomal snRNP assembly in the cytoplasm and pre-mRNA splicing in the nucleus. The encoded protein binds to both SMN1 and the GEMIN6/GEMIN7 heterodimer, mediating their interaction. This protein is found in nuclear Gemini of Cajal bodies (gems) and in the cytoplasm. Three transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, May 2010].
NLRP10	NLR family pyrin domain containing 10 	Members of the NALP protein family typically contain a NACHT domain, a NACHT-associated domain (NAD), a C-terminal leucine-rich repeat (LRR) region, and an N-terminal pyrin domain (PYD). The protein encoded by this gene belongs to the NALP protein family despite lacking the LRR region. This protein likely plays a regulatory role in the innate immune system. The protein belongs to the signal-induced multiprotein complex, the inflammasome, that activates the pro-inflammatory caspases, caspase-1 and caspase-5. Other experiments indicate that this gene acts as a multifunctional negative regulator of inflammation and apoptosis. [provided by RefSeq, Jul 2008].
MAGED1	MAGE family member D1 	This gene is a member of the melanoma antigen gene (MAGE) family. Most of the genes of this family encode tumor specific antigens that are not expressed in normal adult tissues except testis. Although the protein encoded by this gene shares strong homology with members of the MAGE family, it is expressed in almost all normal adult tissues. This gene has been demonstrated to be involved in the p75 neurotrophin receptor mediated programmed cell death pathway. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Jul 2008].
SORBS3	sorbin and SH3 domain containing 3 	This gene encodes an SH3 domain-containing adaptor protein. The presence of SH3 domains play a role in this protein's ability to bind other cytoplasmic molecules and contribute to cystoskeletal organization, cell adhesion and migration, signaling, and gene expression. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2011].
DAP	death associated protein 	This gene encodes a basic, proline-rich, 15-kD protein. The protein acts as a positive mediator of programmed cell death that is induced by interferon-gamma. Alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, May 2014].
OAS2	2'-5'-oligoadenylate synthetase 2 	This gene encodes a member of the 2-5A synthetase family, essential proteins involved in the innate immune response to viral infection. The encoded protein is induced by interferons and uses adenosine triphosphate in 2'-specific nucleotidyl transfer reactions to synthesize 2',5'-oligoadenylates (2-5As). These molecules activate latent RNase L, which results in viral RNA degradation and the inhibition of viral replication. The three known members of this gene family are located in a cluster on chromosome 12. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jul 2008].
SMOC2	SPARC related modular calcium binding 2 	This gene encodes a member of the SPARC family (secreted protein acidic and rich in cysteine/osteonectin/BM-40), which are highly expressed during embryogenesis and wound healing. The gene product is a matricellular protein which promotes matrix assembly and can stimulate endothelial cell proliferation and migration, as well as angiogenic activity. Associated with pulmonary function, this secretory gene product contains a Kazal domain, two thymoglobulin type-1 domains, and two EF-hand calcium-binding domains. The encoded protein may serve as a target for controlling angiogenesis in tumor growth and myocardial ischemia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2009].
DAZAP1	DAZ associated protein 1 	In mammals, the Y chromosome directs the development of the testes and plays an important role in spermatogenesis. A high percentage of infertile men have deletions that map to regions of the Y chromosome. The DAZ (deleted in azoospermia) gene cluster maps to the AZFc region of the Y chromosome and is deleted in many azoospermic and severely oligospermic men. It is thought that the DAZ gene cluster arose from the transposition, amplification, and pruning of the ancestral autosomal gene DAZL also involved in germ cell development and gametogenesis. This gene encodes a RNA-binding protein with two RNP motifs that was originally identified by its interaction with the infertility factors DAZ and DAZL. Two isoforms are encoded by transcript variants of this gene. [provided by RefSeq, Jul 2008].
ZNF419	zinc finger protein 419 	
FAM83H	family with sequence similarity 83 member H 	The protein encoded by this gene plays an important role in the structural development and calcification of tooth enamel. Defects in this gene are a cause of amelogenesis imperfecta type 3 (AI3). [provided by RefSeq, Mar 2010].
PJA1	praja ring finger ubiquitin ligase 1 	This gene encodes an enzyme that has E2-dependent E3 ubiquitin-protein ligase activity. This enzyme belongs to a class of ubiquitin ligases that include a RING finger motif, and it can interact with the E2 ubiquitin-conjugating enzyme UbcH5B. This gene is located in an area of chromosome X where several X-linked cognitive disability disorders have been associated, and it has also been found as part of a contiguous gene deletion associated with craniofrontonasal syndrome, though a direct link to any disorder has yet to be demonstrated. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2010].
NWD1	NACHT and WD repeat domain containing 1 	The protein encoded by this gene is thought to be a cytosolic protein and predicted to contain a NACHT domain and multiple WD40 repeats. Increased expression of this gene was observed in some prostate cancer cell lines. Knocking down expression of this gene results in decreased androgen receptor protein levels, indicating that this gene may be important in modulating androgen receptor activity. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Dec 2016].
CCDC198	coiled-coil domain containing 198 	
FSCN2	fascin actin-bundling protein 2, retinal 	This gene encodes a member of the fascin protein family. Fascins crosslink actin into filamentous bundles within dynamic cell extensions. This family member is proposed to play a role in photoreceptor disk morphogenesis. A mutation in this gene results in one form of autosomal dominant retinitis pigmentosa and macular degeneration. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008].
CRYBA2	crystallin beta A2 	Crystallins are separated into two classes: taxon-specific, or enzyme, and ubiquitous. The latter class constitutes the major proteins of the vertebrate eye, which function to maintain the transparency and refractive index of the lens. Since lens central fiber cells lose their nuclei during development, these crystallins are made and then retained throughout life, making them extremely stable proteins. Mammalian lens crystallins are divided into alpha, beta, and gamma families; beta and gamma crystallins are also defined as a superfamily. Alpha and beta families are further divided into acidic and basic groups. Seven protein regions exist in crystallins: four homologous motifs, a connecting peptide, and N- and C-terminal extensions. Beta-crystallins, the most heterogeneous, differ by the presence of the C-terminal extension (present in the basic group but absent in the acidic group). Beta-crystallins form aggregates of different sizes and are able to form homodimers through self-association or heterodimers with other beta-crystallins. This gene is a beta acidic group member. Three alternatively spliced transcript variants encoding identical proteins have been reported. [provided by RefSeq, Jul 2008].
MAP3K7	TGF-beta activated kinase 1 	The product of this gene functions in the NF-kappaB signal transduction pathway. The encoded protein, and the similar and functionally redundant protein MAP3K7IP2/TAB2, forms a ternary complex with the protein kinase MAP3K7/TAK1 and either TRAF2 or TRAF6 in response to stimulation with the pro-inflammatory cytokines TNF or IL-1. Subsequent MAP3K7/TAK1 kinase activity triggers a signaling cascade leading to activation of the NF-kappaB transcription factor. The human genome contains a related pseudogene. Alternatively spliced transcript variants have been described, but their biological validity has not been determined. [provided by RefSeq, Jul 2008].
HLA-G	major histocompatibility complex, class I, G 	HLA-G belongs to the HLA class I heavy chain paralogues. This class I molecule is a heterodimer consisting of a heavy chain and a light chain (beta-2 microglobulin). The heavy chain is anchored in the membrane. HLA-G is expressed on fetal derived placental cells. The heavy chain is approximately 45 kDa and its gene contains 8 exons. Exon one encodes the leader peptide, exons 2 and 3 encode the alpha1 and alpha2 domain, which both bind the peptide, exon 4 encodes the alpha3 domain, exon 5 encodes the transmembrane region, and exon 6 encodes the cytoplasmic tail. [provided by RefSeq, Jul 2008]. COMPLETENESS: complete on the 3' end.
SOX3	SRY-box transcription factor 3 	This gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional regulator after forming a protein complex with other proteins. Mutations in this gene have been associated with X-linked cognitive disability with growth hormone deficiency. [provided by RefSeq, Jul 2008].
CTSC	cathepsin C 	This gene encodes a member of the peptidase C1 family and lysosomal cysteine proteinase that appears to be a central coordinator for activation of many serine proteinases in cells of the immune system. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate heavy and light chains that form a disulfide-linked dimer. A portion of the propeptide acts as an intramolecular chaperone for the folding and stabilization of the mature enzyme. This enzyme requires chloride ions for activity and can degrade glucagon. Defects in the encoded protein have been shown to be a cause of Papillon-Lefevre syndrome, an autosomal recessive disorder characterized by palmoplantar keratosis and periodontitis. [provided by RefSeq, Nov 2015].
BMPR1A	bone morphogenetic protein receptor type 1A 	The bone morphogenetic protein (BMP) receptors are a family of transmembrane serine/threonine kinases that include the type I receptors BMPR1A and BMPR1B and the type II receptor BMPR2. These receptors are also closely related to the activin receptors, ACVR1 and ACVR2. The ligands of these receptors are members of the TGF-beta superfamily. TGF-betas and activins transduce their signals through the formation of heteromeric complexes with 2 different types of serine (threonine) kinase receptors: type I receptors of about 50-55 kD and type II receptors of about 70-80 kD. Type II receptors bind ligands in the absence of type I receptors, but they require their respective type I receptors for signaling, whereas type I receptors require their respective type II receptors for ligand binding. [provided by RefSeq, Jul 2008].
SEMA5A	semaphorin 5A 	This gene belongs to the semaphorin gene family that encodes membrane proteins containing a semaphorin domain and several thrombospondin type-1 repeats. Members of this family are involved in axonal guidance during neural development. This gene has been implicated as an autism susceptibility gene.[provided by RefSeq, Jan 2010].
MAP2K5	mitogen-activated protein kinase kinase 5 	The protein encoded by this gene is a dual specificity protein kinase that belongs to the MAP kinase kinase family. This kinase specifically interacts with and activates MAPK7/ERK5. This kinase itself can be phosphorylated and activated by MAP3K3/MEKK3, as well as by atypical protein kinase C isoforms (aPKCs). The signal cascade mediated by this kinase is involved in growth factor stimulated cell proliferation and muscle cell differentiation. Three alternatively spliced transcript variants of this gene encoding distinct isoforms have been described. [provided by RefSeq, May 2011].
TNFSF13B	TNF superfamily member 13b 	The protein encoded by this gene is a cytokine that belongs to the tumor necrosis factor (TNF) ligand family. This cytokine is a ligand for receptors TNFRSF13B/TACI, TNFRSF17/BCMA, and TNFRSF13C/BAFFR. This cytokine is expressed in B cell lineage cells, and acts as a potent B cell activator. It has been also shown to play an important role in the proliferation and differentiation of B cells. Alternatively spliced transcript variants encoding distinct isoforms have been identified. [provided by RefSeq, Mar 2011].
KAT7	lysine acetyltransferase 7 	The protein encoded by this gene is part of the multimeric HBO1 complex, which possesses histone H4-specific acetyltransferase activity. This activity is required for functional replication origins and is involved in transcriptional activation of some genes. In both cases, the acetylation of histone H4 helps unfold chromatin so that the DNA can be accessed and replicated or transcribed. [provided by RefSeq, Oct 2016].
GNAT2	G protein subunit alpha transducin 2 	Transducin is a 3-subunit guanine nucleotide-binding protein (G protein) which stimulates the coupling of rhodopsin and cGMP-phoshodiesterase during visual impulses. The transducin alpha subunits in rods and cones are encoded by separate genes. This gene encodes the alpha subunit in cones. [provided by RefSeq, Jul 2008].
NGF	nerve growth factor 	This gene is a member of the NGF-beta family and encodes a secreted protein which homodimerizes and is incorporated into a larger complex. This protein has nerve growth stimulating activity and the complex is involved in the regulation of growth and the differentiation of sympathetic and certain sensory neurons. Mutations in this gene have been associated with hereditary sensory and autonomic neuropathy, type 5 (HSAN5), and dysregulation of this gene's expression is associated with allergic rhinitis. [provided by RefSeq, Jul 2008].
MVB12B	multivesicular body subunit 12B 	The protein encoded by this gene is a component of the ESCRT-I complex, a heterotetramer, which mediates the sorting of ubiquitinated cargo protein from the plasma membrane to the endosomal vesicle. ESCRT-I complex plays an essential role in HIV budding and endosomal protein sorting. Depletion and overexpression of this and related protein (MVB12A) inhibit HIV-1 infectivity and induce unusual viral assembly defects, indicating a role for MVB12 subunits in regulating ESCRT-mediated virus budding. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2011].
SAGE1	sarcoma antigen 1 	This gene belongs to a class of genes that are activated in tumors. These genes are expressed in tumors of different histologic types but not in normal tissues, except for spermatogenic cells and, for some, placenta. The proteins encoded by these genes appear to be strictly tumor specific, and hence may be excellent sources of antigens for cancer immunotherapy. This gene is expressed in sarcomas. [provided by RefSeq, Jul 2008].
PAPPA2	pappalysin 2 	This gene encodes a member of the pappalysin family of metzincin metalloproteinases. The encoded protein cleaves insulin-like growth factor-binding protein 5 and is thought to be a local regulator of insulin-like growth factor (IGF) bioavailability. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2010].
TWIST1	twist family bHLH transcription factor 1 	This gene encodes a basic helix-loop-helix (bHLH) transcription factor that plays an important role in embryonic development. The encoded protein forms both homodimers and heterodimers that bind to DNA E box sequences and regulate the transcription of genes involved in cranial suture closure during skull development. This protein may also regulate neural tube closure, limb development and brown fat metabolism. This gene is hypermethylated and overexpressed in multiple human cancers, and the encoded protein promotes tumor cell invasion and metastasis, as well as metastatic recurrence. Mutations in this gene cause Saethre-Chotzen syndrome in human patients, which is characterized by craniosynostosis, ptosis and hypertelorism. [provided by RefSeq, Jul 2020].
RTL9	retrotransposon Gag like 9 	
SLC6A19	solute carrier family 6 member 19 	This gene encodes a system B(0) transmembrane protein that actively transports most neutral amino acids across the apical membrane of epithelial cells. Mutations in this gene may result in Hartnup disorder, an inherited disease with symptoms such as pellagra, cerebellar ataxia, and psychosis. The expression and function of B0AT1 (SLC6A19) in intestinal cells depends on the presence of the accessory protein angiotensin-converting enzyme 2 (ACE2) which, among other functions, acts as a chaperone for membrane trafficking of B0AT1. The ACE2 is also the cellular receptor for severe acute respiratory syndrome-coronavirus (SARS-CoV) and for SARS-CoV-2 that is causing the coronavirus 2019 (COVID-19) pandemic [provided by RefSeq, Jul 2020].
H3-3A	H3.3 histone A 	Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Two molecules of each of the four core histones (H2A, H2B, H3, and H4) form an octamer, around which approximately 146 bp of DNA is wrapped in repeating units, called nucleosomes. The linker histone, H1, interacts with linker DNA between nucleosomes and functions in the compaction of chromatin into higher order structures. This gene contains introns and its mRNA is polyadenylated, unlike most histone genes. The protein encoded is a replication-independent member of the histone H3 family. [provided by RefSeq, Jul 2008].
NUP205	nucleoporin 205 	This gene encodes a nucleoporin, which is a subunit of the nuclear pore complex that functions in active transport of proteins, RNAs and ribonucleoprotein particles between the nucleus and cytoplasm. Mutations in this gene are associated with steroid-resistant nephrotic syndrome. [provided by RefSeq, Jul 2016].
JAK3	Janus kinase 3 	The protein encoded by this gene is a member of the Janus kinase (JAK) family of tyrosine kinases involved in cytokine receptor-mediated intracellular signal transduction. It is predominantly expressed in immune cells and transduces a signal in response to its activation via tyrosine phosphorylation by interleukin receptors. Mutations in this gene are associated with autosomal SCID (severe combined immunodeficiency disease). [provided by RefSeq, Jul 2008].
DLX3	distal-less homeobox 3 	Many vertebrate homeo box-containing genes have been identified on the basis of their sequence similarity with Drosophila developmental genes. Members of the Dlx gene family contain a homeobox that is related to that of Distal-less (Dll), a gene expressed in the head and limbs of the developing fruit fly. The Distal-less (Dlx) family of genes comprises at least 6 different members, DLX1-DLX6. Trichodentoosseous syndrome (TDO), an autosomal dominant condition, has been correlated with DLX3 gene mutation. This gene is located in a tail-to-tail configuration with another member of the gene family on the long arm of chromosome 17. Mutations in this gene have been associated with the autosomal dominant conditions trichodentoosseous syndrome and amelogenesis imperfecta with taurodontism. [provided by RefSeq, Jul 2008].
CLN5	CLN5 intracellular trafficking protein 	This gene is one of eight which have been associated with neuronal ceroid lipofuscinoses (NCL). Also referred to as Batten disease, NCL comprises a class of autosomal recessive, neurodegenerative disorders affecting children. The genes responsible likely encode proteins involved in the degradation of post-translationally modified proteins in lysosomes. The primary defect in NCL disorders is thought to be associated with lysosomal storage function.[provided by RefSeq, Oct 2008].
KIT	KIT proto-oncogene, receptor tyrosine kinase 	This gene encodes a receptor tyrosine kinase. This gene was initially identified as a homolog of the feline sarcoma viral oncogene v-kit and is often referred to as proto-oncogene c-Kit. The canonical form of this glycosylated transmembrane protein has an N-terminal extracellular region with five immunoglobulin-like domains, a transmembrane region, and an intracellular tyrosine kinase domain at the C-terminus. Upon activation by its cytokine ligand, stem cell factor (SCF), this protein phosphorylates multiple intracellular proteins that play a role in in the proliferation, differentiation, migration and apoptosis of many cell types and thereby plays an important role in hematopoiesis, stem cell maintenance, gametogenesis, melanogenesis, and in mast cell development, migration and function. This protein can be a membrane-bound or soluble protein. Mutations in this gene are associated with gastrointestinal stromal tumors, mast cell disease, acute myelogenous leukemia, and piebaldism. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2020].
NKRF	NFKB repressing factor 	This gene encodes a transcriptional repressor that interacts with specific negative regulatory elements to mediate transcriptional repression of certain nuclear factor kappa B responsive genes. The protein localizes predominantly to the nucleolus with a small fraction found in the nucleoplasm and cytoplasm. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Mar 2010].
CLIP2	CAP-Gly domain containing linker protein 2 	The protein encoded by this gene belongs to the family of cytoplasmic linker proteins, which have been proposed to mediate the interaction between specific membranous organelles and microtubules. This protein was found to associate with both microtubules and an organelle called the dendritic lamellar body. This gene is hemizygously deleted in Williams syndrome, a multisystem developmental disorder caused by the deletion of contiguous genes at 7q11.23. Alternative splicing of this gene generates 2 transcript variants. [provided by RefSeq, Jul 2008].
GYG1	glycogenin 1 	This gene encodes a member of the glycogenin family. Glycogenin is a glycosyltransferase that catalyzes the formation of a short glucose polymer from uridine diphosphate glucose in an autoglucosylation reaction. This reaction is followed by elongation and branching of the polymer, catalyzed by glycogen synthase and branching enzyme, to form glycogen. This gene is expressed in muscle and other tissues. Mutations in this gene result in glycogen storage disease XV. This gene has pseudogenes on chromosomes 1, 8 and 13 respectively. Alternatively spliced transcript variants encoding different isoforms have been identified.[provided by RefSeq, Sep 2010].
HIVEP2	HIVEP zinc finger 2 	This gene encodes a member of a family of closely related, large, zinc finger-containing transcription factors. The encoded protein regulates transcription by binding to regulatory regions of various cellular and viral genes that maybe involved in growth, development and metastasis. The protein contains the ZAS domain comprised of two widely separated regions of zinc finger motifs, a stretch of highly acidic amino acids and a serine/threonine-rich sequence. [provided by RefSeq, Nov 2012].
GLRB	glycine receptor beta 	This gene encodes the beta subunit of the glycine receptor, which is a pentamer composed of alpha and beta subunits. The receptor functions as a neurotransmitter-gated ion channel, which produces hyperpolarization via increased chloride conductance due to the binding of glycine to the receptor. Mutations in this gene cause startle disease, also known as hereditary hyperekplexia or congenital stiff-person syndrome, a disease characterized by muscular rigidity. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2009].
SPAG1	sperm associated antigen 1 	The correlation of anti-sperm antibodies with cases of unexplained infertility implicates a role for these antibodies in blocking fertilization. Improved diagnosis and treatment of immunologic infertility, as well as identification of proteins for targeted contraception, are dependent on the identification and characterization of relevant sperm antigens. The protein expressed by this gene is recognized by anti-sperm agglutinating antibodies from an infertile woman. Furthermore, immunization of female rats with the recombinant human protein reduced fertility. This protein localizes to the plasma membrane of germ cells in the testis and to the post-acrosomal plasma membrane of mature spermatozoa. Recombinant polypeptide binds GTP and exhibits GTPase activity. Thus, this protein may regulate GTP signal transduction pathways involved in spermatogenesis and fertilization. Two transcript variants of this gene encode the same protein. [provided by RefSeq, Jul 2008].
PNMA3	PNMA family member 3 	The protein encoded by this gene belongs to the paraneoplastic antigen MA (PNMA) family, which shares homology with retroviral Gag proteins. The PNMA antigens are highly expressed in the brain and also in a range of tumors associated with serious neurological phenotypes. PMID:16407312 reports the presence of a functional -1 ribosomal frameshift signal (consisting of a heptanucleotide shift motif followed 3' by a pseudoknot structure) in this gene, however, the frame-shifted product has not been characterized. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2013].
DBT	dihydrolipoamide branched chain transacylase E2 	The branched-chain alpha-keto acid dehydrogenase complex (BCKD) is an inner-mitochondrial enzyme complex involved in the breakdown of the branched-chain amino acids isoleucine, leucine, and valine. The BCKD complex is thought to be composed of a core of 24 transacylase (E2) subunits, and associated decarboxylase (E1), dehydrogenase (E3), and regulatory subunits. This gene encodes the transacylase (E2) subunit. Mutations in this gene result in maple syrup urine disease, type 2. Alternatively spliced transcript variants have been described, but their biological validity has not been determined. [provided by RefSeq, Jul 2008].
